DistributorID,DistributorName,City,State,RegionBranchID,AssignedSalesHeadID,CreditLimit,ActivityTier,IsActive
1,Super Agencies,Chennai,Tamil Nadu,2,2,500000,Regular,1
2,Metro Enterprises,Ludhiana,Punjab,3,3,500000,Regular,1
3,Shree Supply Co.,Surat,Gujarat,1,1,2000000,Regular,1
4,Mahalaxmi Agencies,Bengaluru,Karnataka,2,2,500000,Occasional,1
5,Eastern Power House,Lucknow,Uttar Pradesh,3,3,2000000,Regular,1
6,Sunrise Trading Co.,Mumbai,Maharashtra,1,1,2000000,Occasional,1
7,Milan Light Traders,Chennai,Tamil Nadu,2,2,2000000,Occasional,1
8,Mahalaxmi Distributors,Patna,Bihar,4,4,500000,Occasional,1
9,Prime Light Traders,Delhi,Delhi,3,3,1000000,Regular,1
10,Royal Sales Corporation,Nashik,Maharashtra,1,1,5000000,Regular,1
11,Sai Supply Co.,Ahmedabad,Gujarat,1,1,500000,Occasional,1
12,Om Supply Co.,Ahmedabad,Gujarat,1,1,1000000,Regular,1
13,Capital Electronics,Mumbai,Maharashtra,1,1,500000,Regular,1
14,Classic Electronics 14,Patna,Bihar,4,4,2000000,Dormant,0
15,Super Supply Co.,Pune,Maharashtra,1,1,2000000,Occasional,1
16,Sunrise Distributors,Ranchi,Jharkhand,4,4,500000,Dormant,0
17,National Power House,Mumbai,Maharashtra,1,1,2000000,Occasional,1
18,Milan Enterprises,Bengaluru,Karnataka,2,2,1000000,Dormant,0
19,Excel Light Traders,Kolkata,West Bengal,4,4,1000000,Occasional,1
20,National Agencies,Lucknow,Uttar Pradesh,3,3,1000000,Regular,1
21,United Power House,Patna,Bihar,4,4,500000,Occasional,1
22,United Enterprises,Ahmedabad,Gujarat,1,1,1000000,Regular,1
23,United Electricals,Kochi,Kerala,2,2,1000000,Occasional,1
24,Western Distributors,Siliguri,West Bengal,4,4,5000000,Top,1
25,Metro Supply Co.,Nagpur,Maharashtra,1,1,500000,Occasional,1
26,Eastern Supply Co.,Howrah,West Bengal,4,4,1000000,Dormant,0
27,Super Distributors,Siliguri,West Bengal,4,4,1000000,Occasional,1
28,United Light Centre,Kanpur,Uttar Pradesh,3,3,500000,Regular,1
29,Prime Enterprises,Surat,Gujarat,1,1,500000,Regular,1
30,Bharat Trading Co.,Mumbai,Maharashtra,1,1,500000,Top,1
